palabra,gematria,reduccion,traduccion,pagina
בשר,502,7,carne,G26
את,401,5,**,G26
דרכו,230,5,suCamino,G26
על,100,1,sobre,G26
הארץ,1106,8,laTierra,G26
ויאמר,257,14,yDijo,G26
אלהים,646,16,Dios,G26
לנח,88,16,aNoe,G26
קץ,1000,1,finDe,G26
כל,50,5,toda,G26
בשר,502,7,carne,G26
בא,3,3,viniendo,G26
לפני,170,8,aMiFaz,G26
כי,30,3,porque,G26
מלאה,76,13,llena,G26
הארץ,1106,8,laTierra,G26
חמס,108,9,violencia,G26
מפניהם,785,20,deFazDeEllos,G26
והנני,121,4,yHeAquiYo,G26
משחיתם,1358,17,destruyendoLes,G26
את,401,5,**,G26
הארץ,1106,8,laTierra,G26
עשה,375,15,haz,G26
לך,530,8,paraTi,G26
תבת,802,10,arcaDe,G26
עצי,170,8,maderaDe,G26
גפר,283,13,cipres,G26
קנים,760,13,camaras,G26
תעשה,775,19,haras,G26
את,401,5,**,G26
התבה,412,7,elArca,G26
וכפרת,706,13,yRecubres,G26
אתה,406,10,aElla,G26
מבית,452,11,porDentro,G26
ומחוץ,960,15,yPorFuera,G26
בכפר,302,5,conBrea,G26
וזה,18,9,yAsi,G26
אשר,501,6,que,G26
תעשה,775,19,construiras,G26
אתה,406,10,aElla,G26
שלש,630,9,tres,G26
מאות,447,15,cientos,G26
אמה,46,10,codo,G26
ארך,701,8,longitudDe,G26
התבה,412,7,elArca,G26
חמשים,958,22,cincuenta,G26
אמה,46,10,codo,G26  
רחבה,215,8,suAnchura,G26
ושלשים,1246,13,yTreinta,G26
אמה,46,10,codo,G26  
קומתה,551,11,suAltura,G26
צהר,295,16,techo,G26
תעשה,775,19,haras,G26
לתבה,437,14,paraElArca,G26
ואל,37,10,yPara,G26
אמה,46,10,codo,G26
תכלנה,505,10,laTerminaras,G26
מלמעלה,215,8,desdeArriba,G26
ופתח,494,17,yPuertaDe,G26
התבה,412,7,elArca,G26
בצדה,101,2,enSuLado,G26
תשים,1310,5,pondras,G26
תחתים,1418,14,bajos,G26
שנים,960,15,segundo,G26
ושלשים,1246,13,yTercero,G26
תעשה,775,19,haras,G26
ואני,67,13,yYo,G26
הנני,115,7,haoraYo,G26
מביא,53,8,trayendo,G26
את,401,5,**,G26
המבול,83,11,elDiluvioDe,G26
מים,650,11,aguas,G26
על,100,1,sobre,G26
הארץ,1106,8,laTierra,G26
לשחת,738,18,paraDestruir,G26
כל,50,5,toda,G26
בשר,502,7,carne,G26
אשר,501,6,que,G26
בו,8,8,enElla,G26
רוח,214,7,espirituDe,G26
חיים,628,16,vida,G26
מתחת,848,20,deDebajoDe,G26
השמים,955,19,losCielos,G26
כל,50,5,todo,G26
אשר,501,6,que,G26
בארץ,1103,5,enLaTierra,G26
יגוע,89,17,perecera,G26
והקמתי,561,12,yEstablecere,G26
את,401,5,**,G26
בריתי,622,10,miPacto,G26
אתך,901,10,contigo,G26
ובאת,409,13,yEntraras,G26
אל,31,4,a,G26
התבה,412,7,elArca,G26
אתה,406,10,tu,G26
ובניך,568,19,yTusHijos,G26
ואשתך,1207,10,yTuMujer,G26
ונשי,366,15,yMujeresde,G26
בניך,562,13,tusHijos,G26
אתך,901,10,contigo,G26
ומכל,96,15,yDeTodo,G26
החי,23,5,loViviente,G26
מכל,90,9,deToda,G26
בשר,502,7,carne,G26
שנים,960,15,dos,G26
מכל,90,9,deTodo,G26
תביא,413,8,traeras,G26
אל,31,4,a,G26
התבה,412,7,elArca,G26
להחית,453,12,paraEstarVivos,G26
אתך,901,10,contigo,G26
זכר,227,11,macho,G26
ונקבה,163,10,yHembra,G26
יהיו,31,4,seran,G26
מהעוף,921,12,deElAve,G26
למינהו,141,6,paraSuEspecie,G26
ומן,746,17,yDe,G26
הבהמה,57,12,elAnimal,G26
למינה,135,9,paraSuEspecie,G26
מכל,90,9,deTodo,G26
רמש,540,9,reptilDe,G26
האדמה,55,10,elTerreno,G26
למינהו,141,6,paraSuEspecie,G26
שנים,960,15,dos,G26
מכל,90,9,deTodo,G26
יבאו,19,10,entraran,G26
אליך,541,10,aTi,G26
להחיות,459,18,paraEstarVivos,G26
ואתה,412,7,yTu,G26
קח,108,9,toma,G26
לך,530,8,paraTi,G26
מכל,90,9,deTodo,G26
מאכל,91,10,alimento,G26
אשר,501,6,que,G26
יאכל,61,7,seCome,G26
ואספת,547,16,yAlmacena,G26
אליך,541,10,paraTi,G26
והיה,26,8,ySea,G26
לך,530,8,paraTi,G26
ולהם,641,11,yParaEllos,G26
לאכלה,86,14,paraAlimento,G26
ויעש,386,17,eHizo,G26
נח,58,13,noe,G26
ככל,70,7,comoTodo,G26
אשר,501,6,que,G26
צוה,101,2,mando,G26
אתו,407,11,aEl,G26
אלהים,646,16,Dios,G26
כן,720,9,asi,G26
עשה,375,15,hizo,G26
ויאמר,257,14,yDijo,G28
יהוה,26,8,Ashem,G28
לנח,88,16,aNoe,G28
בא,3,3,entra,G28
אתה,406,10,tu,G28
וכל,56,11,yToda,G28
ביתך,912,12,tuCasa,G28
אל,31,4,a,G28
התבה,412,7,elArca,G28
כי,30,3,que,G28
אתך,901,10,aTi,G28
ראיתי,621,9,halle,G28
צדיק,204,6,justo,G28
לפני,170,8,antemiFaz,G28
בדור,212,5,enLaGeneracion,G28
הזה,17,8,esta,G28
מכל,90,9,deTodo,G28
הבהמה,57,12,elAnimal,G28
הטהורה,230,5,elLimpio,G28
תקח,508,13,toma,G28
לך,530,8,conTigo,G28
שבעה,377,17,siete,G28
שבעה,377,17,siete,G28
איש,311,5,macho,G28
ואשתו,713,11,ySuHembra,G28
ומן,746,17,yDe,G28
הבהמה,57,12,elAnimal,G28
אשר,501,6,que,G26
לא,31,4,no,G28
טהרה,219,12,limpio,G28
הוא,12,3,este,G28
שנים,960,15,dos,G28
איש,311,5,macho,G28
ואשתו,713,11,ySuHembra,G28
גם,603,9,tambien,G28
מעוף,916,16,deAveDe,G28
השמים,955,19,losCielos,G28
שבעה,377,17,siete,G28
שבעה,377,17,siete,G28
זכר,227,11,macho,G28
ונקבה,163,10,yHembra,G28
לחיות,454,13,paraEstarVivas,G28
זרע,277,16,especie,G28
על,100,1,sobre,G28
פני,140,5,fazDe,G28
כל,50,5,toda,G28
הארץ,1106,8,laTierra,G28
כי,30,3,que,G28
לימים,690,15,aDias,G28
עוד,80,8,ahora,G28
שבעה,377,17,siete,G28
אנכי,81,9,yo,G28
ממטיר,299,20,areLlover,G28
על,100,1,sobre,G28
הארץ,1106,8,laTierra,G28
ארבעים,883,19,cuarenta,G28
יום,616,13,dia,G28
וארבעים,889,25,yCuarenta,G28
לילה,75,12,noche,G28
ומחיתי,474,15,yBorrare,G28
את,401,5,**,G28
כל,50,5,toda,G28
היקום,721,10,criatura,G28
אשר,501,6,que,G28
עשיתי,790,16,hice,G28
מעל,140,5,deSobre,G28
פני,140,5,fazDe,G28
האדמה,55,10,elTerreno,G28
ויעש,386,17,eHizo,G28
נח,58,13,noe,G28
ככל,70,7,comoTodo,G28
אשר,501,6,que,G28
צוהו,107,8,leMando,G28
יהוה,26,8,ashem,G28
ונח,64,10,yNoe,G28
בן,702,9,hijoDe,G28
שש,600,6,seis,G28
מאות,447,15,cientos,G28
שנה,355,13,año,G28
והמבול,89,17,yElDiluvio,G28
היה,20,2,fue,G28
מים,650,11,aguas,G28
על,100,1,sobre,G28
הארץ,1106,8,laTierra,G28
ויבא,19,10,yEntro,G28
נח,58,13,noe,G28
ובניו,74,11,ySusHijos,G28
ואשתו,713,11,ySuMujer,G28
ונשי,366,15,yMujeresDe,G28
בניו,68,14,susHijos,G28
אתו,407,11,conEl,G28
אל,31,4,a,G28
התבה,412,7,elArca,G28
מפני,180,9,deLaFazDe,G28
מי,50,5,aguasDe,G28
המבול,83,11,elDiluvio,G28
מן,740,11,de,G28
הבהמה,57,12,elAnimal,G28
הטהורה,230,5,elLimpio,G28
ומן,746,17,yDe,G28
הבהמה,57,12,elAnimal,G28
אשר,501,6,que,G28
איננה,116,8,noEs,G28
טהרה,219,12,limpio,G28
ומן,746,17,yDe,G28
העוף,881,17,elAve,G28
וכל,56,11,yTodo,G28
אשר,501,6,que,G28
רמש,540,9,moviente,G28
על,100,1,sobre,G28
האדמה,55,10,elTerreno,G28
שנים,960,15,dos,G28
שנים,960,15,dos,G28
באו,9,9,vinieron,G28
אל,31,4,a,G28
נח,58,13,noe,G28
אל,31,4,a,G28
התבה,412,7,elArca,G28
זכר,227,11,varon,G28
ונקבה,163,10,yHembra,G28
כאשר,521,8,como,G28
צוה,101,2,mando,G28
אלהים,646,16,dios,G28
את,401,5,a,G28
נח,58,13,noe,G28
ויהי,31,4,yFue,G28
לשבעת,802,10,alSieteDe,G28
הימים,665,17,deLosDias,G28
ומי,56,11,yAguasDe,G28
המבול,83,11,elDiluvio,G28
היו,21,3,fueron,G28
על,100,1,sobre,G28
הארץ,1106,8,laTierra,G28
בשנת,756,18,enAñoDe,G28
שש,600,6,seis,G28
מאות,447,15,cientos,G28
שנה,355,13,año,G28
לחיי,58,13,aVidaDe,G28
נח,58,13,noe,G28
בחדש,314,8,enElMes,G28
השני,365,14,elSegundo,G28
בשבעה,379,19,enSiete,G28
עשר,570,12,diez,G28
יום,616,13,dia,G28
לחדש,342,9,aElMes,G28
ביום,618,15,enElDia,G28
הזה,17,8,elEse,G28
נבקעו,228,12,seAbrieron,G28
כל,50,5,todas,G28
מעינות,576,18,fuentesDe,G28
תהום,1011,3,abismo,G28
רבה,207,9,grande,G28
וארבת,609,15,yLasCompuertasDe,G28
השמים,955,19,losCielos,G28
נפתחו,544,13,seAbrieron,G28
ויהי,31,4,yFue,G28
הגשם,908,17,laLluvia,G28
על,100,1,sobre,G28
הארץ,1106,8,laTierra,G28
ארבעים,883,19,cuarenta,G28
יום,616,13,dias,G28
וארבעים,899,26,yCuarenta,G28
לילה,75,12,noches,G28
בעצם,762,15,enMismo,G28
היום,621,9,elDia,G28
הזה,17,8,elAquel,G28
בא,3,3,entro,G28
נח,58,13,noe,G28
ושם,906,15,ySem,G28
וחם,614,11,yCam,G28
ויפת,496,19,yJafet,G28
בני,62,8,hijosDe,G28
נח,58,13,noe,G28
ואשת,707,14,yMujerDe,G28
נח,58,13,noe,G28
ושלשת,1036,10,yTresDe,G28
נשי,360,9,mujeresDe,G28
בניו,68,14,susHijos,G28
אתם,1001,2,conEllos,G28
אל,31,4,a,G28
התבה,412,7,elArca,G28
המה,50,5,ellos,G28
וכל,56,11,yTodoDe,G28
החיה,28,10,elAnimal,G28
למינה,135,9,aSuEspecie,G28
וכל,56,11,yTodoDe,G28
הבהמה,57,12,elGanado,G28
למינה,135,9,aSuEspecie,G28
וכל,56,11,yTodoDe,G28
הרמש,545,14,elReptil,G28
הרמש,545,14,elReptante,G28
על,100,1,sobre,G28
הארץ,1106,8,laTierra,G28
למינהו,141,6,aSuEspecie,G28
וכל,56,11,yTodoDe,G28
העוף,881,17,elAve,G28
למינהו,141,6,aSuEspecie,G28
כל,50,5,todo,G28
צפור,357,15,pajaro,G28
כל,50,5,todoDe,G28
כנף,870,15,ala,G28
ויבאו,25,7,yVinieron,G28
אל,31,4,a,G28
נח,58,13,noe,G28
אל,31,4,a,G28
התבה,412,7,elArca,G28
שנים,960,15,dos,G28
שנים,960,15,dos,G28
מכל,90,9,deToda,G28
הבשר,507,12,laCarne,G28
אשר,501,6,que,G28
בו,8,8,enEl,G28
רוח,214,7,espirituDe,G28
חיים,628,16,vida,G28
והבאים,624,12,yLosQueEntraban,G28
זכר,227,11,macho,G28
ונקבה,163,10,yHembra,G28
מכל,90,9,deToda,G28
בשר,502,7,carne,G28
באו,9,9,vinieron,G28
כאשר,521,8,como,G28
צוה,101,2,mando,G28
אתו,407,11,aEl,G28
אלהים,646,16,dios,G30
ויסגר,279,18,yCerro,G30
יהוה,26,8,ashem,G30
בעדו,82,10,trasEl,G30
ויהי,31,4,yFue,G30
המבול,83,11,elDiluvio,G30
ארבעים,883,19,cuarenta,G30
יום,616,13,dia,G30
על,100,1,sobre,G30
הארץ,1106,8,laTierra,G30
וירבו,224,8,yCrecieron,G30
המים,655,16,lasAguas,G30
וישאו,323,8,yLevantaron,G30
את,401,5,**,G30
התבה,412,7,elArca,G30
ותרם,1206,9,ySeElevo,G30
מעל,140,5,deSobre,G30
הארץ,1106,8,laTierra,G30
ויגברו,200,2,ySubieron,G30
המים,655,16,lasAguas,G30
וירבו,224,8,yCrecieron,G30
מאד,45,9,mucho,G30
על,100,1,sobre,G30
הארץ,1106,8,laTierra,G30
ותלך,936,18,yFloto,G30
התבה,412,7,elArca,G30
על,100,1,sobre,G30
פני,140,5,fazDe,G30
המים,655,16,lasAguas,G30
והמים,661,13,yLasAguas,G30
גברו,211,4,crecieron,G30
מאד,45,9,mucho,G30
מאד,45,9,mucho,G30
על,100,1,sobre,G30
הארץ,1106,8,laTierra,G30
ויכסו,102,3,yFueronCubiertas,G30
כל,50,5,todas,G30
ההרים,820,10,lasMontañas,G30
הגבהים,625,13,lasAltas,G30
אשר,501,6,que,G30
תחת,808,16,bajo,G30
כל,50,5,todos,G30
השמים,955,19,losCielos,G30
חמש,348,15,cinto,G30
עשרה,575,17,diez,G30
אמה,46,10,codo,G30
מלמעלה,215,8,desdeArriba,G30
גברו,211,4,crecieron,G30
המים,655,16,lasAguas,G30
ויכסו,102,3,yFueronCubiertas,G30
ההרים,820,10,lasMontañas,G30
ויגוע,95,14,yPerecio,G30
כל,50,5,toda,G30
בשר,502,7,carne,G30
הרמש,545,14,laQueSeMueve,G30
על,100,1,sobre,G30
הארץ,1106,8,laTierra,G30
בעוף,878,23,yConElAve,G30
ובבהמה,60,6,yconLaBestia,G30
ובחיה,31,4,yConElAnimal,G30
ובכל,58,13,yConTodo,G30
השרץ,1405,10,elReptil,G30
השרץ,1405,10,queRepta,G30
על,100,1,sobre,G30
הארץ,1106,8,laTierra,G30
וכל,56,11,yTodo,G30
האדם,610,7,elHombre,G30
כל,50,5,todo,G30
אשר,501,6,que,G30
נשמת,790,16,alientoDe,G30
רוח,214,7,espirituDe,G30
חיים,628,16,vida,G30
באפיו,99,18,enSusNarices,G30
מכל,90,9,deTodo,G30
אשר,501,6,que,G30
בחרבה,217,10,enTierraSeca,G30
מתו,446,14,murieron,G30
וימח,64,10,yFueDestruido,G30
את,401,5,**,G30
כל,50,5,todo,G30
היקום,721,10,elViviente,G30
אשר,501,6,que,G30
על,100,1,sobre,G30
פני,140,5,fazDe,G30
האדמה,55,10,laTierra,G30
מאדם,645,15,delHombre,G30
עד,74,11,hasta,G30
בהמה,52,7,bestia,G30
עד,74,11,hasta,G30
רמש,540,9,reptil,G30
ועד,80,8,yHasta,G30
עוף,876,21,aveDe,G30
השמים,955,19,losCielos,G30
וימחו,70,7,yFueronDestruidos,G30
מן,740,11,de,G30
הארץ,1106,8,laTierra,G30
וישאר,517,13,yQuedo,G30
אך,501,6,solo,G30
נח,58,13,noe,G30
ואשר,507,12,yQuien,G30
אתו,407,11,conEl,G30
בתבה,409,13,enElArca,G30
ויגברו,227,11,yPrevalecieron,G30
המים,655,16,lasAguas,G30
על,100,1,sobre,G30
הארץ,1106,8,laTierra,G30
חמשים,958,22,cincuenta,G30
ומאת,447,15,yCien,G30
יום,616,13,dia,G30
ויזכר,243,9,yRecordo,G30
אלהים,646,16,dios,G30
את,401,5,**,G30
נח,58,13,noe,G30
ואת,407,11,y**,G30
כל,50,5,todo,G30
החיה,28,10,elAnimal,G30
ואת,407,11,y**,G30
כל,50,5,todo,G30
החיה,28,10,laBestia,G30
אשר,501,6,que,G30
אתו,407,11,conEl,G30
בתבה,409,13,enelArca,G30
ויעבר,288,18,yEnvio,G30
אלהים,646,16,dios,G30
רוח,214,7,viento,G30
על,100,1,sobre,G30
הארץ,1106,8,laTierra,G30
וישכו,342,9,yRetrocedieron,G30
המים,655,16,lasAguas,G30
ויסכרו,302,5,yFueronCerradas,G30
מעינת,570,12,fuentesDe,G30
תהום,1011,3,abismo,G30
וארבת,609,15,yLasConpuertasDe,G30
השמים,955,19,losCielos,G30
ויכלא,67,13,ySeDetuvo,G30
הגשם,908,17,laLluvia,G30
מן,740,11,de,G30
השמים,955,19,losCielos,G30
וישבו,324,9,yRetrocedieron,G30
המים,655,16,lasAguas,G30
מעל,140,5,deSobre,G30
הארץ,1106,8,laTierra,G30
הלוך,541,10,continuar,G30
ושוב,314,8,yRetrocedieron,G30
ויחסרו,290,11,yDesendieron,G30
המים,655,16,lasAguas,G30
מקצה,235,10,alfinDe,G30
חמשים,958,22,cincuenta,G30
ומאת,447,15,yCien,G30
יום,616,13,dia,G30
ותנח,464,14,yDescanso,G30
התבה,412,7,elArca,G30
בחדש,314,8,enElMes,G30
השביעי,397,19,elSeptimo,G30
בשבעה,379,19,enSiete,G30
עשר,570,12,diez,G30
יום,616,13,dia,G30
לחדש,342,9,paraElMes,G30
על,100,1,sobre,G30
הרי,215,8,montesDe,G30
אררט,410,5,arrat,G30
והמים,661,13,yLasAguas,G30
היו,21,3,fueron,G20
הלוך,541,10,continuar,G30
וחסור,280,10,yRetroceder,G30
עד,74,11,hasta,G30
החדש,317,11,elMes,G30
העשירי,595,19,elDesimo,G30
בעשירי,592,16,enElDesimo,G30
באחד,15,6,enPrimero,G30
לחדש,342,9,paraElMes,G30
נראו,257,14,seVieron,G30
ראשי,511,7,cabezaDe,G30
ההרים,820,10,lasMontañas,G30
ויהי,31,4,yFue,G30
מקץ,1040,5,alFinDe,G30
ארבעים,883,19,cuarenta,G30
יום,616,13,dia,G30
ויפתח,504,9,yAbrio,G30
נח,58,13,noe,G30
את,401,5,**,G30
חלון,744,15,ventanaDe,G30
התבה,412,7,elArca,G30
אשר,501,6,que,G30
עשה,375,15,hizo,G30
וישלח,354,12,yEnvio,G30
את,401,5,**,G30
הערב,277,16,elCuervo,G30
ויצא,107,8,ySalio,G30
יצוא,107,8,salir,G30
ושוב,314,8,yRegreso,G30
עד,74,11,hasta,G30
יבשת,712,10,secarse,G30
המים,655,16,lasAguas,G30
מעל,140,5,deSobre,G30
הארץ,1106,8,laTierra,G30
את,401,5,**,G30
היונה,76,13,laPaloma,G30
מאתו,447,15,deConEl,G30
לראות,637,16,paraVer,G30
הקלו,141,6,siRetrosedia,G30
המים,655,16,lasAguas,G30
מעל,140,5,elSobre,G30
פני,140,5,fazDe,G30
האדמה,55,10,elTerreno,G30
ולא,37,10,yYo,G30
מצאה,136,10,encontro,G30
היונה,76,13,laPaloma,G30
מנוח,104,5,lugar,G30
לכף,850,13,paraPlantaDe,G30
רגלה,238,13,suPie,G30
ותשב,708,15,yvolvio,G30
אליו,47,11,aEl,G30
אל,31,4,a,G30
התבה,412,7,elArca,G30
כי,30,3,porQue,G30
מים,650,11,aguas,G32
על,100,1,sobre,G32
פני,140,5,fazDe,G32
כל,50,5,todas,G32
הארץ,1106,8,laTierra,G32
וישלח,354,12,yalargo,G32
ידו,20,2,suMano,G32
ויקחה,129,12,yLaTomo,G32
ויבא,19,10,yTrajo,G32
אתה,406,10,aElla,G32
אליו,47,11,aEl,G32
אל,31,4,a,G32
התבה,412,7,elArca,G32
ויחל,54,9,yEspero,G32
עוד,80,8,aun,G32
שבעת,772,16,siete,G32
ימים,660,12,dias,G32
אחרים,819,18,ademas,G32
ויסף,876,21,yRepitio,G32
שלח,338,14,enviar,G32
את,401,5,**,G32
היונה,76,13,laPaloma,G32
מן,740,11,desde,G32
התבה,412,7,elArca,G32
ותבא,409,13,yVino,G32
אליו,47,11,aEl,G32
היונה,76,13,laPaloma,G32
לעת,500,5,elTiempo,G32
ערב,272,11,laTarde,G32
והנה,66,12,yMira,G32
עלה,105,6,hojaDe,G32
זית,417,12,olivo,G32
טרף,1009,10,fresca,G32
בפיה,97,16,enSuPico,G32
וידע,90,9,yConocio,G32
נח,58,13,noe,G32
כי,30,3,que,G32
קלו,136,10,retrosedieron,G32
המים,655,16,lasAguas,G32
מעל,140,5,deSobre,G32
הארץ,1106,8,laTierra,G32
וייחל,64,10,yEspero,G32
עוד,80,8,aun,G32
שבעת,772,16,siete,G32
ימים,660,12,dias,G32
אחרים,819,18,ademas,G32
וישלח,354,12,yEnvio,G32
את,401,5,**,G32
היונה,76,13,laPaloma,G32
ולא,37,10,yNo,G32
יספה,155,11,repitio,G32
שוב,308,11,volver,G32
אליו,47,11,aEl,G32
עוד,80,8,aun,G32
ויהי,31,4,yFue,G32
באחת,411,6,enUno,G32
ושש,606,12,ySeis,G32
מאות,447,15,cientos,G32
שנה,355,13,año,G32
בראשון,1209,12,enelPrincipio,G32
באחד,15,6,enUno,G32
לחדש,342,9,delMes,G32
חרבו,216,9,seSecaron,G32
המים,655,16,lasAguas,G32
מעל,140,5,deSobre,G32
הארץ,1106,8,laTierra,G32
ויסר,276,15,yQuito,G32
נח,58,13,noe,G32
את,401,5,**,G30
מכסה,125,8,cubiertaDe,G32
התבה,412,7,elArca,G32
וירא,217,10,yMiro,G32
והנה,66,12,yMira,G32
חרבו,216,9,secas,G32
פני,140,5,facesDe,G32
האדמה,55,10,elTerreno,G32
ובחדש,320,5,yEnElMes,G32
השני,365,14,elSegundo,G32
בשבעה,379,19,enSiete,G32
ועשרים,1186,16,yVeinte,G32
יום,616,13,dia,G32
לחדש,342,9,paraElMes,G32
יבשה,317,11,seSeco,G32
הארץ,1106,8,laTierra,G32
וידבר,222,6,yHablo,G32
אלהים,646,16,dios,G32
אל,31,4,a,G30
נח,58,13,noe,G32
לאמר,271,10,diciendo,G32
צא,91,10,sal,G32
מן,740,11,de,G32
התבה,412,7,elArca,G32
אתה,406,10,tu,G32
ואשתך,1207,10,yTuMujer,G32
ובניך,568,19,yTusHijos,G32
ונשי,366,15,yMujeresDe,G32
בניך,562,13,tushijos,G32
אתך,901,10,conTigo,G32
כל,50,5,todo,G32
החיה,28,10,loViviente,G32
אשר,501,6,que,G32
אתך,901,10,conMigo,G32
מכל,90,9,deToda,G32
בשר,502,7,carne,G32
בעוף,878,23,conElAve,G32
ובבהמה,60,6,yConLaBestia,G32
ובכל,58,13,yConTodo,G32
הרמש,545,14,elReptil,G32
הרמש,545,14,elQueRepta,G32
על,100,1,sobre,G32
הארץ,1106,8,laTierra,G32
הוצא,102,3,saca,G32
אתך,901,10,conTigo,G32
ושרצו,602,8,yMultipliquense,G32
בארץ,1103,5,enLaTierra,G32
ופרו,292,13,yFrucctifiquen,G32
ורבו,214,7,yAumenten,G32
על,100,1,sobre,G32
הארץ,1106,8,laTierra,G32
ויצא,107,8,ySalio,G32
נח,58,13,noe,G32
ובניו,74,11,ySusHijos,G32
ואשתו,713,11,ySuMujer,G32
ונשי,366,15,yMujeresDe,G32
בניו,68,14,susHijos,G32
אתו,407,11,conEl,G32
כל,50,5,todo,G32
החיה,28,10,animal,G32
כל,50,5,todo,G32
הרמש,545,14,elReptil,G32
וכל,56,11,yTodo,G32
העוף,881,17,elAve,G32
כל,50,5,todo,G32
רומש,546,15,movimiento,G32
על,100,1,sobre,G32
הארץ,1106,8,laTierra,G32
למשפחתיהם,1473,15,porSusEspecies,G32
יצאו,107,8,salieron,G32
מן,740,11,de,G32
התבה,412,7,elArca,G32
ויבן,718,16,yEdifico,G32
נח,58,13,noe,G32
מזבח,57,12,elAltar,G32
ליהוה,56,11,aAshem,G32
ויקח,124,7,yTomo,G32
מכל,90,9,deToda,G32
הבהמה,57,12,lasBestia,G32
הטהרה,224,8,laLimpia,G32
ומכל,96,15,yDeTodo,G32
העוף,881,17,elAve,G32
הטהור,225,9,elLimpio,G32
ויעל,116,8,ySacrificio,G32
עלת,500,5,holocausto,G32
במזבח,59,14,enelAltar,G32
וירח,224,8,yOlio,G32
יהוה,26,8,ashem,G32
את,401,5,**,G30
ריח,218,11,olor,32
הניחח,81,9,elAgradable,G32
ויאמר,257,14,ydijo,G32
יהוה,26,8,ashem,G32
אל,31,4,a,G32
לבו,38,11,suCorazon,G32
לא,31,4,no,G32
אסף,861,15,repetire,G32
לקלל,190,10,aMaldecir,G32
עוד,80,8,otraVez,G32
את,401,5,**,G30
האדמה,55,10,elTerreno,G32
בעבור,280,10,aCausaDe,G32
האדם,610,7,elhombre,G32
כי,30,3,que,G32
יצר,300,3,inclinacionDe,G32
לב,32,5,corazonDe,G32
האדם,610,7,elHombre,G32
רע,270,9,mal,G32
מנעריו,376,16,desdeSuInfancia,G32
ולא,37,10,yNo,G32
אסף,861,15,repetire,G32
עוד,80,8,otraVez,G32
להכות,461,11,paraDestruir,G32
את,401,5,**,G32
כל,50,5,todo,G32
חי,18,9,viviente,G32
כאשר,521,8,como,G32
עשיתי,790,16,hice,G32
עד,74,11,mientras,G32
כל,50,5,todos,G32
ימי,60,6,diasDe,G32
הארץ,1106,8,laTierra,G32
זרע,277,16,siembra,G32
וקציר,406,10,ySiega,G32
וקר,306,9,yFrio,G32
וחם,614,11,yCalor,G32
וקיץ,1016,8,yVerano,G32
וחרף,1014,6,eInvierno,G32
ויום,622,10,yDia,G32
ולילה,81,9,yNoche,G32
לא,31,4,no,G32
ישבתו,718,16,cesaran,G32
ויברך,718,16,yBendijo,G32
אלהים,646,16,dios,G32
את,401,5,**,G32
נח,58,13,noe,G32
ואת,407,11,y**,G32
בניו,68,14,susHijos,G32
ויאמר,257,14,yDijo,G32
להם,635,14,aEllos,G32
פרו,286,16,fructificad,G32
ורבו,214,7,yAumentad,G32
ומלאו,83,11,yLlenad,G32
את,401,5,**,G30
הארץ,1106,8,laTierra,G32
ומוראכם,873,18,yTemorDeVosotros,G32
וחתכם,1034,8,yMiedoDeVosotros,G32
יהוה,26,8,sera,G32
על,100,1,sobre,G32
כל,50,5,todo,G30
חית,418,13,animalDe,G34
הארץ,1106,8,laTierra,G34
ועל,106,7,ySobre,G34
כל,50,5,todo,G34
עוף,876,21,aveDe,G34
השמים,955,19,losCielos,G34
בכל,52,7,enTodo,G34
אשר,501,6,que,G34
תרמש,940,13,seMueve,G34
האדמה,55,10,elTerreno,G34
ובכל,58,13,yEnTodos,G34
דגי,17,8,pecesDe,G34
הים,615,12,elMar,G34
בידכם,636,15,enManosDeVosotros,G34
נתנו,506,11,sonDados,G34
כל,50,5,todo,G34
רמש,540,9,moviente,G32
אשר,501,6,que,G34
הוא,12,3,el,G34
חי,18,9,vive,G34
לכם,650,11,paraVosotros,G34
יהיה,30,3,sera,G34
לאכלה,86,14,paraAlimento,G34
כירק,330,6,comoVerde,G34
עשב,372,12,planta,G34
נתתי,860,14,di,G34
לכם,650,11,paraVosotros,G34
את,401,5,**,G34
כל,50,5,todo,G34
אך,501,6,pero,G34
בשר,502,7,carne,G34
בנפשו,438,15,conSuAlma,G34
דמו,50,5,suSangre,G34
לא,31,4,no,G34
תאכלו,457,16,comereis,G34
ואך,507,12,yDeCiento,G34
את,401,5,**,G34
דמכם,664,16,vuestraSangre,G34
לנפשתיכם,1490,14,paravuestrasVidas,G34
אדרש,505,10,pedire,G34
מיד,54,9,demanoDe,G34
כל,50,5,todo,G34
חיה,23,5,animal,G34
אדרשנו,561,12,leDemandare,G34
ומיד,60,6,yDemanoDe,G34
האדם,610,7,elHombre,G34
מיד,54,9,deManoDe,G34
איש,311,5,varon,G34
אחיו,25,7,suHermano,G34
אדרש,505,10,demandare,G34
את,401,5,**,G34
נפש,430,7,vidade,G34
האדם,610,7,elHombre,G34
שפך,880,16,derramadorDe,G34
דם,604,10,sangreDe,G34
האדם,610,7,elHombre,G34
באדם,607,13,porElHombre,G34
דמו,50,5,suSangre,G34
ישפך,890,17,seraDerramada,G34
כי,30,3,pues,G34
בצלם,722,11,enImagenDe,G34
אלהים,646,16,dios,G34
עשה,375,15,hizo,G34
את,401,5,**,G34
האדם,610,7,elHombre,G34
ואתם,1007,8,yVosotros,G34
